Path,Background,Type,ArcSize,ArcWidth,SizeTop,SizeBottom,OnTop,SampleNum,DiffSizeTopBottom
illusory/red_on_top/red0.03_blue0.03_0.png,"(0, 0, 0)",illusory,49.63952222947383,0.1945315628373815,0.031568254275327,0.031568254275327,red,0,0.0
illusory/blue_on_top/red0.06_blue0.06_0.png,"(0, 0, 0)",illusory,52.77173322672877,0.1884091207009703,0.058371851412274,0.058371851412274,blue,0,0.0
illusory/red_on_top/red0.03_blue0.03_1.png,"(0, 0, 0)",illusory,47.50185340325809,0.1460053808186086,0.0280611698278978,0.0280611698278978,red,1,0.0
illusory/blue_on_top/red0.01_blue0.01_1.png,"(0, 0, 0)",illusory,55.38627777749656,0.1716623123930777,0.014989741477793,0.014989741477793,blue,1,0.0
illusory/red_on_top/red0.03_blue0.03_2.png,"(0, 0, 0)",illusory,59.452566647267645,0.1947240319157296,0.0288474826424601,0.0288474826424601,red,2,0.0
illusory/blue_on_top/red0.05_blue0.05_2.png,"(0, 0, 0)",illusory,46.08797981701702,0.0306256175880153,0.051068920909516,0.051068920909516,blue,2,0.0
illusory/red_on_top/red0.03_blue0.03_3.png,"(0, 0, 0)",illusory,51.35474605496255,0.1990877830267555,0.0338442976561512,0.0338442976561512,red,3,0.0
illusory/blue_on_top/red0.05_blue0.05_3.png,"(0, 0, 0)",illusory,59.67823999966741,0.0888648508643274,0.0497385199856118,0.0497385199856118,blue,3,0.0
illusory/red_on_top/red0.01_blue0.01_4.png,"(0, 0, 0)",illusory,45.85711402342357,0.1049488417590698,0.0139035687180612,0.0139035687180612,red,4,0.0
illusory/blue_on_top/red0.02_blue0.02_4.png,"(0, 0, 0)",illusory,59.0205237801696,0.0954720977639427,0.0184444756796898,0.0184444756796898,blue,4,0.0
illusory/red_on_top/red0.04_blue0.04_5.png,"(0, 0, 0)",illusory,48.00101655781876,0.0575708996208311,0.0370420547094828,0.0370420547094828,red,5,0.0
illusory/blue_on_top/red0.01_blue0.01_5.png,"(0, 0, 0)",illusory,54.58897158097908,0.0622553694541359,0.0136625783705474,0.0136625783705474,blue,5,0.0
illusory/red_on_top/red0.05_blue0.05_6.png,"(0, 0, 0)",illusory,59.2822317052494,0.1394424424597038,0.052016858294075,0.052016858294075,red,6,0.0
illusory/blue_on_top/red0.05_blue0.05_6.png,"(0, 0, 0)",illusory,53.32290810051011,0.1570231572980741,0.0531171417678394,0.0531171417678394,blue,6,0.0
illusory/red_on_top/red0.03_blue0.03_7.png,"(0, 0, 0)",illusory,57.102509937063104,0.0492297590185374,0.0303958248252022,0.0303958248252022,red,7,0.0
illusory/blue_on_top/red0.04_blue0.04_7.png,"(0, 0, 0)",illusory,57.237040565716654,0.1951325205468316,0.041984760151353,0.041984760151353,blue,7,0.0
illusory/red_on_top/red0.02_blue0.02_8.png,"(0, 0, 0)",illusory,49.380135737001865,0.149118647638985,0.0158240069350322,0.0158240069350322,red,8,0.0
illusory/blue_on_top/red0.01_blue0.01_8.png,"(0, 0, 0)",illusory,57.15782893601934,0.0717105460924055,0.0109565919074149,0.0109565919074149,blue,8,0.0
illusory/red_on_top/red0.05_blue0.05_9.png,"(0, 0, 0)",illusory,47.67285672491552,0.1499923423952955,0.0538248956756248,0.0538248956756248,red,9,0.0
illusory/blue_on_top/red0.05_blue0.05_9.png,"(0, 0, 0)",illusory,48.89384356843073,0.1237590868027971,0.0494844774769608,0.0494844774769608,blue,9,0.0
illusory/red_on_top/red0.03_blue0.03_10.png,"(0, 0, 0)",illusory,50.07677133518334,0.0485905940369295,0.0343273464253601,0.0343273464253601,red,10,0.0
illusory/blue_on_top/red0.05_blue0.05_10.png,"(0, 0, 0)",illusory,46.19937713032931,0.0452625822621731,0.0454688896518319,0.0454688896518319,blue,10,0.0
illusory/red_on_top/red0.02_blue0.02_11.png,"(0, 0, 0)",illusory,54.83969364126474,0.1627865287820265,0.0172136865401236,0.0172136865401236,red,11,0.0
illusory/blue_on_top/red0.03_blue0.03_11.png,"(0, 0, 0)",illusory,51.30824808629608,0.1362116311888794,0.0292703572872233,0.0292703572872233,blue,11,0.0
illusory/red_on_top/red0.03_blue0.03_12.png,"(0, 0, 0)",illusory,45.20678630949767,0.0730928570835677,0.02950285017797,0.02950285017797,red,12,0.0
illusory/blue_on_top/red0.03_blue0.03_12.png,"(0, 0, 0)",illusory,46.077173952320095,0.0654514092549034,0.0298462777126894,0.0298462777126894,blue,12,0.0
illusory/red_on_top/red0.03_blue0.03_13.png,"(0, 0, 0)",illusory,52.12181820879528,0.0875471082520488,0.028411302737504,0.028411302737504,red,13,0.0
illusory/blue_on_top/red0.04_blue0.04_13.png,"(0, 0, 0)",illusory,50.22324120924792,0.1756939095356502,0.040669308689272,0.040669308689272,blue,13,0.0
